,Ano,Posicionamento,Deputados
0,2003,Centro,169
1,2003,Centro-direita,110
2,2003,Centro-esquerda,55
3,2003,Direita,120
4,2003,Esquerda,107
5,2004,Centro,158
6,2004,Centro-direita,68
7,2004,Centro-esquerda,44
8,2004,Direita,124
9,2004,Esquerda,103
10,2005,Centro,182
11,2005,Centro-direita,117
12,2005,Centro-esquerda,60
13,2005,Direita,118
14,2005,Esquerda,107
15,2006,Centro,174
16,2006,Centro-direita,111
17,2006,Centro-esquerda,60
18,2006,Direita,108
19,2006,Esquerda,101
20,2007,Centro,87
21,2007,Centro-direita,71
22,2007,Centro-esquerda,14
23,2007,Direita,106
24,2007,Esquerda,86
25,2008,Centro,80
26,2008,Centro-direita,68
27,2008,Centro-esquerda,14
28,2008,Direita,117
29,2008,Esquerda,86
30,2009,Centro,80
31,2009,Centro-direita,66
32,2009,Centro-esquerda,44
33,2009,Direita,132
34,2009,Esquerda,85
35,2010,Centro,80
36,2010,Centro-direita,64
37,2010,Centro-esquerda,38
38,2010,Direita,129
39,2010,Esquerda,87
40,2011,Centro,201
41,2011,Centro-direita,63
42,2011,Centro-esquerda,30
43,2011,Direita,88
44,2011,Esquerda,93
45,2012,Centro,197
46,2012,Centro-direita,40
47,2012,Centro-esquerda,64
48,2012,Direita,82
49,2012,Esquerda,109
50,2013,Centro,239
51,2013,Centro-direita,44
52,2013,Centro-esquerda,66
53,2013,Direita,87
54,2013,Esquerda,110
55,2014,Centro,193
56,2014,Centro-direita,39
57,2014,Centro-esquerda,54
58,2014,Direita,39
59,2014,Esquerda,112
60,2015,Centro,146
61,2015,Centro-direita,52
62,2015,Centro-esquerda,74
63,2015,Direita,58
64,2015,Esquerda,91
65,2016,Centro,146
66,2016,Centro-direita,83
67,2016,Centro-esquerda,78
68,2016,Direita,69
69,2016,Esquerda,82
70,2017,Centro,176
71,2017,Centro-direita,79
72,2017,Centro-esquerda,73
73,2017,Direita,80
74,2017,Esquerda,77
75,2018,Centro,179
76,2018,Centro-direita,82
77,2018,Centro-esquerda,72
78,2018,Direita,76
79,2018,Esquerda,83
80,2019,Centro,116
81,2019,Centro-direita,108
82,2019,Centro-esquerda,65
83,2019,Direita,135
84,2019,Esquerda,75
85,2020,Centro,152
86,2020,Centro-direita,121
87,2020,Centro-esquerda,64
88,2020,Direita,131
89,2020,Esquerda,74
90,2021,Centro,151
91,2021,Centro-direita,122
92,2021,Centro-esquerda,65
93,2021,Direita,135
94,2021,Esquerda,73
95,2022,Centro,150
96,2022,Centro-direita,129
97,2022,Centro-esquerda,66
98,2022,Direita,149
99,2022,Esquerda,74
